eSTOI orig.;eSTOI target.;eSTOI target.mask;eSTOI recon.;PESQ orig.;PESQ target.;PESQ target.mask;PESQ recon.
0.378;0.861;0.851;0.992;1.034;2.448;2.479;3.758
0.429;0.845;0.834;0.993;1.031;2.676;2.681;3.727
0.492;0.867;0.86;0.993;1.039;2.443;2.448;3.586
0.165;0.813;0.813;0.991;1.029;2.181;2.173;3.517
0.752;0.915;0.912;0.992;1.181;2.911;2.934;3.565
0.638;0.879;0.876;0.993;1.067;2.43;2.45;3.514
0.849;0.949;0.949;0.99;2.006;3.069;3.064;3.389
0.812;0.929;0.926;0.988;1.362;3.238;3.222;3.879
0.221;0.807;0.794;0.991;1.021;2.414;2.359;3.685
0.142;0.828;0.815;0.989;1.114;2.208;2.175;3.61
0.705;0.946;0.929;0.991;1.436;3.138;3.154;4.056
0.47;0.826;0.807;0.992;1.175;3.031;3.033;4.178
0.81;0.944;0.94;0.99;1.814;3.219;3.214;3.915
0.611;0.896;0.889;0.99;1.154;2.85;2.855;3.998
0.538;0.896;0.885;0.99;1.101;2.648;2.652;4.016
0.667;0.931;0.923;0.99;1.167;2.809;2.806;3.844
0.376;0.82;0.804;0.993;1.033;2.327;2.323;3.861
0.691;0.919;0.909;0.992;1.374;3.165;3.169;4.161
0.639;0.933;0.925;0.99;1.2;2.926;2.941;3.907
0.506;0.908;0.896;0.992;1.156;2.588;2.617;3.742
0.842;0.972;0.97;0.991;1.408;2.908;2.901;3.795
0.538;0.882;0.874;0.989;1.043;2.471;2.39;3.472
0.865;0.97;0.967;0.989;1.25;2.876;2.888;3.489
0.702;0.941;0.937;0.985;1.176;2.548;2.559;3.575
0.732;0.935;0.929;0.989;1.24;2.854;2.863;3.827
0.837;0.956;0.951;0.989;1.182;3.181;3.146;3.941
0.689;0.949;0.945;0.989;1.313;2.879;2.882;3.858
0.233;0.845;0.828;0.991;1.029;1.728;1.717;3.413
0.659;0.941;0.934;0.985;1.151;2.575;2.591;3.518
0.786;0.949;0.944;0.989;1.295;2.501;2.484;3.651
0.6;0.949;0.939;0.993;1.12;2.949;2.94;3.987
0.559;0.907;0.887;0.993;1.189;3.032;3.004;4.078
0.163;0.803;0.786;0.988;1.031;2.243;2.257;3.883
0.325;0.87;0.855;0.991;1.061;2.608;2.607;3.958
0.316;0.839;0.822;0.994;1.056;2.55;2.529;4.048
