eSTOI orig.;eSTOI target.;eSTOI target.mask;eSTOI recon.;PESQ orig.;PESQ target.;PESQ target.mask;PESQ recon.
0.378;0.852;0.843;1.0;1.034;2.477;2.473;4.155
0.429;0.831;0.816;1.0;1.031;2.68;2.616;4.289
0.492;0.858;0.853;1.0;1.039;2.487;2.462;4.123
0.165;0.838;0.83;1.0;1.029;2.153;2.123;3.752
0.752;0.931;0.922;1.0;1.181;3.462;3.488;4.211
0.638;0.898;0.89;1.0;1.067;2.707;2.7;3.966
0.849;0.954;0.952;1.0;2.006;3.958;3.918;4.343
0.812;0.935;0.931;1.0;1.362;3.743;3.76;4.291
0.221;0.828;0.821;1.0;1.021;2.377;2.369;3.892
0.142;0.804;0.798;1.0;1.114;2.261;2.243;4.298
0.705;0.936;0.917;1.0;1.436;3.577;3.578;4.291
0.47;0.863;0.838;1.0;1.175;2.984;2.949;4.39
0.81;0.951;0.942;1.0;1.814;3.592;3.613;4.13
0.611;0.936;0.923;1.0;1.154;3.382;3.377;4.253
0.538;0.926;0.915;1.0;1.101;3.309;3.288;4.17
0.667;0.961;0.948;1.0;1.167;3.492;3.467;4.279
0.376;0.845;0.833;1.0;1.033;2.431;2.411;4.167
0.691;0.941;0.922;1.0;1.374;3.656;3.617;4.262
0.639;0.933;0.929;1.0;1.2;3.442;3.43;4.2
0.506;0.904;0.886;1.0;1.156;2.719;2.676;4.035
0.842;0.976;0.971;1.0;1.408;3.468;3.429;4.192
0.538;0.877;0.861;1.0;1.043;2.832;2.802;4.264
0.865;0.983;0.978;1.0;1.25;3.307;3.262;4.011
0.702;0.956;0.948;1.0;1.176;2.797;2.75;3.866
0.732;0.926;0.917;1.0;1.24;3.286;3.287;4.121
0.837;0.974;0.968;1.0;1.182;3.718;3.728;4.085
0.689;0.931;0.922;1.0;1.313;3.541;3.475;4.321
0.233;0.836;0.831;1.0;1.029;2.018;1.934;3.804
0.659;0.946;0.938;1.0;1.151;3.087;3.074;4.155
0.786;0.968;0.964;1.0;1.295;3.025;3.003;4.023
0.6;0.937;0.927;1.0;1.12;3.609;3.538;4.394
0.559;0.903;0.896;1.0;1.189;3.276;3.262;4.423
0.163;0.842;0.828;1.0;1.031;2.465;2.387;4.33
0.325;0.867;0.849;1.0;1.061;3.038;3.02;4.371
0.316;0.858;0.841;1.0;1.056;2.935;2.879;4.394
0.532;0.922;0.914;1.0;1.115;3.489;3.462;4.347
0.225;0.837;0.823;1.0;1.022;2.789;2.713;4.358
0.524;0.895;0.883;1.0;1.053;3.077;2.999;4.324
0.841;0.972;0.96;1.0;1.804;3.904;3.867;4.444
0.283;0.86;0.848;1.0;1.021;2.576;2.581;4.332
0.507;0.929;0.918;1.0;1.06;2.738;2.688;4.172
0.742;0.949;0.937;1.0;1.257;3.501;3.493;4.31
0.424;0.904;0.894;1.0;1.024;2.856;2.802;4.167
0.625;0.945;0.933;1.0;1.205;3.45;3.42;4.299
0.729;0.964;0.958;1.0;1.242;3.588;3.561;4.312
0.593;0.92;0.911;1.0;1.111;3.4;3.406;4.237
0.53;0.919;0.911;1.0;1.102;3.28;3.213;4.392
0.508;0.909;0.896;1.0;1.122;3.127;3.064;4.458
0.891;0.986;0.982;1.0;1.632;3.711;3.624;4.096
0.72;0.958;0.947;1.0;1.396;3.408;3.376;4.35
0.581;0.895;0.882;1.0;1.129;3.277;3.236;4.19
0.281;0.788;0.775;1.0;1.022;2.676;2.641;4.274
0.434;0.853;0.844;1.0;1.039;3.032;2.984;4.231
0.483;0.856;0.835;1.0;1.042;2.786;2.677;4.326
0.285;0.857;0.851;1.0;1.035;2.819;2.75;4.17
0.485;0.871;0.861;1.0;1.087;3.094;3.111;4.202
0.525;0.899;0.886;1.0;1.07;3.379;3.415;4.296
0.615;0.868;0.858;1.0;1.11;3.344;3.294;4.175
0.846;0.97;0.966;1.0;1.651;3.752;3.764;4.226
0.303;0.859;0.855;1.0;1.046;2.737;2.688;4.278
0.735;0.924;0.915;1.0;1.24;3.928;3.879;4.427
0.3;0.822;0.807;1.0;1.056;3.409;3.264;4.419
0.761;0.926;0.918;1.0;1.587;3.936;3.923;4.409
0.427;0.839;0.819;1.0;1.131;3.533;3.43;4.497
0.484;0.888;0.872;1.0;1.094;3.655;3.595;4.489
0.365;0.836;0.822;1.0;1.086;3.39;3.27;4.469
0.535;0.877;0.862;1.0;1.081;3.493;3.441;4.469
0.217;0.8;0.771;1.0;1.041;3.475;3.278;4.478
0.254;0.817;0.809;1.0;1.04;3.042;2.915;4.502
0.435;0.882;0.871;1.0;1.103;3.365;3.35;4.477
0.503;0.9;0.888;1.0;1.08;3.118;2.962;4.406
0.413;0.841;0.809;1.0;1.077;2.805;2.734;4.422
0.644;0.93;0.918;1.0;1.256;3.526;3.51;4.399
0.62;0.943;0.932;1.0;1.173;3.097;2.989;4.339
0.712;0.948;0.94;1.0;1.335;3.524;3.499;4.274
0.341;0.828;0.806;1.0;1.068;2.552;2.562;4.434
0.348;0.845;0.819;1.0;1.075;2.69;2.61;4.435
0.601;0.875;0.873;1.0;1.079;3.357;3.468;4.442
0.407;0.886;0.865;1.0;1.073;3.044;2.925;4.387
0.766;0.955;0.941;1.0;1.178;3.37;3.158;4.382
0.194;0.855;0.842;1.0;1.038;3.326;3.013;4.411
0.811;0.957;0.947;1.0;1.445;3.766;3.677;4.457
0.376;0.836;0.82;1.0;1.08;3.028;2.82;4.403
0.5;0.905;0.894;1.0;1.068;2.786;2.78;4.292
0.69;0.926;0.914;1.0;1.395;3.735;3.738;4.347
0.739;0.942;0.928;1.0;1.359;3.887;3.793;4.393
0.259;0.812;0.804;1.0;1.049;2.953;2.83;4.409
0.479;0.804;0.76;1.0;1.436;3.615;3.395;4.468
0.31;0.84;0.817;1.0;1.069;2.997;2.749;4.321
0.517;0.784;0.758;1.0;1.096;2.926;2.95;4.509
0.613;0.941;0.927;1.0;1.154;3.314;3.268;4.295
0.568;0.904;0.887;1.0;1.238;3.38;3.296;4.395
0.257;0.862;0.852;1.0;1.064;2.772;2.683;4.248
0.891;0.979;0.972;1.0;1.689;3.728;3.681;4.317
0.775;0.949;0.934;1.0;1.564;3.954;3.916;4.372
0.552;0.911;0.906;1.0;1.227;3.474;3.384;4.38
0.752;0.937;0.929;1.0;1.515;3.486;3.426;4.277
0.87;0.966;0.954;1.0;1.639;3.795;3.767;4.259
0.573;0.928;0.92;1.0;1.103;3.454;3.454;4.247
0.288;0.89;0.875;1.0;1.078;2.906;2.86;4.058
0.342;0.834;0.815;1.0;1.049;3.305;3.159;4.389
