Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
0;DR1-FAKS0-SA1;Copy machine;-4;0.495;0.559;0.371;0.422;1.027;1.046
1;DR1-FAKS0-SA2;Copy machine;2;0.574;0.557;0.408;0.413;1.025;1.053
2;DR1-FAKS0-SI1573;Speech-shaped noise;4;0.715;0.707;0.474;0.464;1.029;1.09
3;DR1-FAKS0-SI2203;Restaurant;-6;0.431;0.458;0.157;0.243;1.032;1.072
4;DR1-FAKS0-SI943;River;0;0.861;0.892;0.732;0.792;1.042;1.786
5;DR1-FAKS0-SX133;Hallway;-4;0.809;0.814;0.623;0.664;1.032;1.276
6;DR1-FAKS0-SX223;Bus;0;0.907;0.922;0.821;0.838;1.193;2.312
7;DR1-FAKS0-SX313;Sports Field;6;0.89;0.875;0.789;0.791;1.039;2.176
8;DR1-FAKS0-SX403;Copy machine;0;0.56;0.625;0.212;0.34;1.028;1.055
9;DR1-FAKS0-SX43;Restaurant;-6;0.372;0.303;0.128;0.119;1.026;1.031
10;DR1-FDAC1-SA1;Hallway;-8;0.878;0.908;0.679;0.759;1.068;2.016
11;DR1-FDAC1-SA2;Cafeteria;0;0.745;0.764;0.443;0.511;1.034;1.378
12;DR1-FDAC1-SI1474;Hallway;4;0.951;0.946;0.783;0.822;1.209;2.239
13;DR1-FDAC1-SI2104;Copy machine;6;0.796;0.843;0.589;0.654;1.13;1.368
14;DR1-FDAC1-SI844;Copy machine;2;0.735;0.805;0.509;0.641;1.048;1.362
15;DR1-FDAC1-SX124;City park;0;0.863;0.882;0.621;0.737;1.037;1.461
16;DR1-FDAC1-SX214;Metro;-8;0.645;0.784;0.36;0.517;1.019;1.213
17;DR1-FDAC1-SX304;Traffic;2;0.909;0.931;0.669;0.77;1.036;2.036
18;DR1-FDAC1-SX34;Meeting room;6;0.858;0.884;0.619;0.772;1.082;1.557
19;DR1-FDAC1-SX394;Speech-shaped noise;6;0.761;0.835;0.484;0.64;1.124;1.57
20;DR1-FELC0-SA1;Metro;-2;0.914;0.938;0.812;0.873;1.08;1.896
21;DR1-FELC0-SA2;Traffic;0;0.734;0.794;0.503;0.584;1.023;1.349
22;DR1-FELC0-SI1386;Sports Field;-2;0.935;0.964;0.838;0.916;1.04;2.381
23;DR1-FELC0-SI2016;Hallway;-2;0.866;0.903;0.671;0.771;1.058;1.505
24;DR1-FELC0-SI756;Traffic;2;0.872;0.903;0.697;0.757;1.041;1.704
25;DR1-FELC0-SX126;Bus;-6;0.918;0.942;0.816;0.881;1.039;2.264
26;DR1-FELC0-SX216;Bus;-2;0.798;0.803;0.647;0.728;1.044;1.666
27;DR1-FELC0-SX306;Copy machine;-6;0.369;0.408;0.218;0.282;1.029;1.046
28;DR1-FELC0-SX36;Traffic;4;0.853;0.888;0.628;0.762;1.034;1.7
