Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
0;DR1-FAKS0-SA1;Copy machine;-4;0.494;0.555;0.371;0.422;1.027;1.048
1;DR1-FAKS0-SA2;Copy machine;2;0.574;0.592;0.408;0.472;1.025;1.082
2;DR1-FAKS0-SI1573;Speech-shaped noise;4;0.715;0.771;0.473;0.599;1.029;1.164
3;DR1-FAKS0-SI2203;Restaurant;-6;0.429;0.467;0.16;0.269;1.032;1.083
4;DR1-FAKS0-SI943;River;0;0.861;0.901;0.732;0.832;1.042;1.815
5;DR1-FAKS0-SX133;Hallway;-4;0.809;0.859;0.623;0.751;1.032;1.358
6;DR1-FAKS0-SX223;Bus;0;0.907;0.934;0.821;0.859;1.194;2.1
7;DR1-FAKS0-SX313;Sports Field;6;0.89;0.882;0.789;0.828;1.039;2.078
8;DR1-FAKS0-SX403;Copy machine;0;0.559;0.655;0.212;0.417;1.028;1.117
9;DR1-FAKS0-SX43;Restaurant;-6;0.371;0.235;0.128;0.071;1.026;1.026
10;DR1-FDAC1-SA1;Hallway;-8;0.878;0.938;0.679;0.824;1.068;2.311
11;DR1-FDAC1-SA2;Cafeteria;0;0.746;0.806;0.443;0.565;1.034;1.383
12;DR1-FDAC1-SI1474;Hallway;4;0.951;0.948;0.782;0.827;1.21;2.261
13;DR1-FDAC1-SI2104;Copy machine;6;0.794;0.853;0.594;0.718;1.131;1.559
14;DR1-FDAC1-SI844;Copy machine;2;0.734;0.815;0.51;0.662;1.048;1.602
15;DR1-FDAC1-SX124;City park;0;0.863;0.907;0.621;0.767;1.037;1.396
16;DR1-FDAC1-SX214;Metro;-8;0.645;0.782;0.36;0.564;1.019;1.206
17;DR1-FDAC1-SX304;Traffic;2;0.909;0.933;0.669;0.802;1.036;2.225
18;DR1-FDAC1-SX34;Meeting room;6;0.858;0.91;0.619;0.786;1.082;1.725
19;DR1-FDAC1-SX394;Speech-shaped noise;6;0.762;0.878;0.483;0.724;1.125;1.685
20;DR1-FELC0-SA1;Metro;-2;0.914;0.942;0.812;0.891;1.08;2.049
21;DR1-FELC0-SA2;Traffic;0;0.732;0.81;0.504;0.636;1.023;1.512
22;DR1-FELC0-SI1386;Sports Field;-2;0.935;0.958;0.838;0.912;1.04;2.492
23;DR1-FELC0-SI2016;Hallway;-2;0.866;0.927;0.671;0.838;1.058;1.488
24;DR1-FELC0-SI756;Traffic;2;0.873;0.912;0.7;0.826;1.041;1.948
25;DR1-FELC0-SX126;Bus;-6;0.918;0.933;0.816;0.886;1.039;2.111
26;DR1-FELC0-SX216;Bus;-2;0.797;0.864;0.647;0.73;1.044;1.633
27;DR1-FELC0-SX306;Copy machine;-6;0.369;0.539;0.218;0.339;1.029;1.076
28;DR1-FELC0-SX36;Traffic;4;0.852;0.906;0.629;0.803;1.034;1.929
29;DR1-FELC0-SX396;Metro;4;0.892;0.915;0.759;0.846;1.099;1.966
30;DR1-FJEM0-SA1;City park;2;0.758;0.849;0.591;0.731;1.024;2.01
31;DR1-FJEM0-SA2;Living room;2;0.76;0.841;0.536;0.719;1.025;1.375
32;DR1-FJEM0-SI1264;Subway station;-8;0.564;0.605;0.181;0.307;1.027;1.155
33;DR1-FJEM0-SI1894;Copy machine;2;0.531;0.668;0.3;0.458;1.044;1.281
34;DR1-FJEM0-SI634;Copy machine;0;0.592;0.664;0.319;0.386;1.042;1.217
35;DR1-FJEM0-SX184;Copy machine;6;0.651;0.772;0.517;0.639;1.081;1.485
36;DR1-FJEM0-SX274;Traffic;-8;0.528;0.612;0.262;0.363;1.022;1.169
37;DR1-FJEM0-SX364;Traffic;-2;0.779;0.884;0.507;0.679;1.022;1.44
38;DR1-FJEM0-SX4;Metro;4;0.911;0.952;0.822;0.909;1.233;2.603
