Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
0;DR1-FAKS0-SA1;Copy machine;-4;0.495;0.581;0.371;0.451;1.027;1.054
1;DR1-FAKS0-SA2;Copy machine;2;0.574;0.58;0.408;0.428;1.025;1.061
2;DR1-FAKS0-SI1573;Speech-shaped noise;4;0.715;0.741;0.474;0.5;1.029;1.16
3;DR1-FAKS0-SI2203;Restaurant;-6;0.431;0.483;0.157;0.256;1.032;1.077
4;DR1-FAKS0-SI943;River;0;0.861;0.886;0.732;0.78;1.042;1.954
5;DR1-FAKS0-SX133;Hallway;-4;0.809;0.833;0.623;0.672;1.032;1.344
6;DR1-FAKS0-SX223;Bus;0;0.907;0.921;0.821;0.839;1.193;2.394
7;DR1-FAKS0-SX313;Sports Field;6;0.89;0.874;0.789;0.785;1.039;2.326
8;DR1-FAKS0-SX403;Copy machine;0;0.56;0.631;0.212;0.353;1.028;1.06
9;DR1-FAKS0-SX43;Restaurant;-6;0.372;0.371;0.128;0.17;1.026;1.03
10;DR1-FDAC1-SA1;Hallway;-8;0.878;0.909;0.679;0.762;1.068;2.045
11;DR1-FDAC1-SA2;Cafeteria;0;0.745;0.761;0.443;0.499;1.034;1.333
12;DR1-FDAC1-SI1474;Hallway;4;0.951;0.946;0.783;0.833;1.209;2.439
13;DR1-FDAC1-SI2104;Copy machine;6;0.796;0.827;0.589;0.627;1.13;1.341
14;DR1-FDAC1-SI844;Copy machine;2;0.735;0.8;0.509;0.629;1.048;1.392
15;DR1-FDAC1-SX124;City park;0;0.863;0.892;0.621;0.732;1.037;1.463
16;DR1-FDAC1-SX214;Metro;-8;0.645;0.755;0.36;0.484;1.019;1.217
17;DR1-FDAC1-SX304;Traffic;2;0.909;0.912;0.669;0.741;1.036;2.078
18;DR1-FDAC1-SX34;Meeting room;6;0.858;0.877;0.619;0.75;1.082;1.545
19;DR1-FDAC1-SX394;Speech-shaped noise;6;0.761;0.829;0.484;0.627;1.124;1.563
20;DR1-FELC0-SA1;Metro;-2;0.914;0.936;0.812;0.87;1.08;1.838
21;DR1-FELC0-SA2;Traffic;0;0.734;0.798;0.503;0.589;1.023;1.308
22;DR1-FELC0-SI1386;Sports Field;-2;0.935;0.967;0.838;0.924;1.04;2.44
23;DR1-FELC0-SI2016;Hallway;-2;0.866;0.915;0.671;0.808;1.058;1.646
24;DR1-FELC0-SI756;Traffic;2;0.872;0.907;0.697;0.763;1.041;1.822
25;DR1-FELC0-SX126;Bus;-6;0.918;0.944;0.816;0.888;1.039;2.284
26;DR1-FELC0-SX216;Bus;-2;0.798;0.805;0.647;0.74;1.044;1.722
27;DR1-FELC0-SX306;Copy machine;-6;0.369;0.423;0.218;0.259;1.029;1.048
28;DR1-FELC0-SX36;Traffic;4;0.853;0.888;0.628;0.753;1.034;1.675
29;DR1-FELC0-SX396;Metro;4;0.893;0.922;0.759;0.851;1.098;1.945
30;DR1-FJEM0-SA1;City park;2;0.758;0.816;0.592;0.661;1.024;1.528
31;DR1-FJEM0-SA2;Living room;2;0.76;0.818;0.537;0.641;1.025;1.589
